fles,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
libraries/joomla/base/node.php,44,4,1,3
libraries/joomla/base/tree.php,58,4,1,3
libraries/joomla/crypt/cipher.php,29,4,1,3
libraries/joomla/crypt/cipher/simple.php,54,6,2,4
libraries/joomla/crypt/key.php,195,6,2,4
libraries/joomla/database/exception.php,6,6,2,4
libraries/joomla/database/table/menutype.php,4,4,1,3
libraries/joomla/database/table/module.php,92,4,1,3
libraries/joomla/database/table/session.php,15,4,1,3
libraries/joomla/document/error/error.php,87,4,1,3
libraries/joomla/document/json/json.php,133,4,1,3
/joomla/document/opensearch/opensearch.php,34,4,1,3
libraries/joomla/document/raw/raw.php,42,6,1,5
/filesystem/support/stringcontroller.php,34,4,1,3
libraries/joomla/form/fields/spacer.php,13,4,1,3
libraries/joomla/form/rule.php,25,4,1,3
libraries/joomla/form/rules/color.php,22,4,1,3
libraries/joomla/form/rules/equals.php,16,4,1,3
libraries/joomla/form/rules/options.php,34,4,1,3
libraries/joomla/form/rules/rules.php,42,4,1,3
libraries/joomla/form/rules/username.php,90,4,1,3
libraries/joomla/github/forks.php,75,4,1,3
libraries/joomla/github/pulls.php,99,4,1,3
libraries/joomla/github/refs.php,41,4,1,3
libraries/joomla/html/html/email.php,134,4,1,3
libraries/joomla/html/html/form.php,40,4,1,3
libraries/joomla/html/html/user.php,50,4,1,3
libraries/joomla/html/toolbar.php,6,4,1,3
libraries/joomla/http/response.php,73,4,1,3
libraries/joomla/image/filters/brightness.php,16,4,1,3
libraries/joomla/image/filters/contrast.php,105,4,1,3
libraries/joomla/image/filters/edgedetect.php,60,4,1,3
libraries/joomla/language/helper.php,129,4,1,3
libraries/joomla/log/logexception.php,110,6,2,4
libraries/joomla/log/loggers/messagequeue.php,182,6,2,4
libraries/joomla/session/storage.php,16,4,1,3
libraries/joomla/session/storage/apc.php,268,6,2,4
libraries/joomla/session/storage/database.php,270,6,2,4
libraries/joomla/session/storage/eaccelerator.php,87,6,2,4
libraries/joomla/session/storage/memcache.php,114,6,2,4
libraries/joomla/session/storage/none.php,137,4,1,3
libraries/joomla/session/storage/wincache.php,41,4,1,3
libraries/joomla/session/storage/xcache.php,7,4,1,3
libraries/joomla/updater/adapters/extension.php,7,10,4,6
libraries/joomla/utilities/xmlelement.php,140,2,0,2
libraries/loader.php,24,4,1,3
/phpmailer/language/phpmailer.langjoomla.php,12,4,1,3
libraries/phpmailer/pop3.php,84,4,1,3
libraries/phputf8/mbstring/core.php,115,4,1,3
libraries/phputf8/strireplace.php,5,4,1,3
libraries/phputf8/strpad.php,205,6,2,4
libraries/phputf8/strsplit.php,5,6,2,4
libraries/phputf8/strcasecmp.php,187,6,2,4
libraries/phputf8/strcspn.php,68,4,1,3
libraries/phputf8/stristr.php,16,4,1,3
libraries/phputf8/strrev.php,88,4,1,3
libraries/phputf8/strspn.php,102,4,1,3
libraries/phputf8/substrreplace.php,70,4,1,3
libraries/phputf8/trim.php,101,4,1,3
libraries/phputf8/ucfirst.php,16,4,1,3
libraries/phputf8/ucwords.php,59,4,1,3
libraries/phputf8/utils/ascii.php,4,4,1,3
libraries/phputf8/utils/patterns.php,16,6,2,4
libraries/phputf8/utils/specials.php,16,4,1,3
modules/modarticlesarchive/helper.php,4,4,1,3
