modified_Smelly_Classes,classsize,classtype,BugsafterSmells,BugsbeforeSmells,fixingcommits,codechurn,commitsexhibiting,v2.0.2,v2.0.6,v2.1.3,v2.1.4,v2.2.3,v2.2.4,v2.3.9,v2.3.10,v2.5.0,v2.5.4,v2.5.6,v2.5.7,v2.6.11,v2.7.8,v2.8.8,v2.9.1,v2.9.3,v2.10.9,v2.10.14,v2.10.17,v2.10.19,v3.1.6,v3.3.4,v3.4.8,v3.5.3,v3.6.2
lib/Cake/Model/Permission.php,259,Medium,12,2,2,369,2,0,0,0,0,0,0,183,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Controller/Component/CookieComponentTest.php,777,Large,11,2,1,49,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Log/CakeLogTest.php,173,Medium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Utility/CakeTimeTest.php,1180,Large,14,2,1,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
lib/Cake/Test/Case/Utility/FileTest.php,488,Large,16,4,3,95,3,0,24,0,0,0,0,0,0,29,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/View/Helper/FormHelperTest.php,7556,Large,82,22,8,742,10,0,0,51,0,0,0,91,0,144,43,0,0,59,0,70,0,0,47,237,0,0,0,0,0,0,0
lib/Cake/Test/Case/View/ViewTest.php,1842,Large,39,1,1,43,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/TestSuite/Fixture/CakeTestFixture.php,336,Large,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Utility/CakeTime.php,1150,Large,23,4,3,554,3,0,0,208,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0
lib/Cake/Utility/Hash.php,1237,Large,22,4,3,150,3,0,0,0,0,0,0,27,0,0,0,103,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
