class,classsize,classtype,bugsaftersmells,bugsbeforesmells,fixingcommits,codechurn,commitsexhibiting,v200,v203,v205,v206,v209,v2010,v2015,v2021,v211,v213,v219,v2110,v223,v228,v229,v233,v2313,v2335,v240,v247,v252,v255,v2511,v260,v261,v269,v272,v276,v2714,v284,v285,v288,v2835,v2839,v301,v309,v311,v314,v317,v320,v325,v330,v333,v335,v339,v3311,v3312,v341,v344,v346,v348,v412,v418,v423,v429,v437,v445,v447,v501,v505
src/Symfony/Component/Validator/Constraints/MinLengthValidator.php,237,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/Symfony/Component/Validator/Constraints/MinValidator.php,237,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/Symfony/Component/Validator/Constraints/NotBlankValidator.php,237,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/Symfony/Component/Validator/Constraints/NotNullValidator.php,237,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/Symfony/Component/Validator/Constraints/NullValidator.php,237,Medium,9,1,1,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/Symfony/Component/Validator/Constraints/RegexValidator.php,237,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/Symfony/Component/Validator/Constraints/TimeValidator.php,237,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/Symfony/Component/Validator/Constraints/TrueValidator.php,237,Medium,11,1,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/Symfony/Component/Validator/Constraints/TypeValidator.php,237,Medium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/Symfony/Component/Validator/Constraints/UrlValidator.php,237,Medium,14,3,3,116,3,0,0,0,0,0,0,0,0,0,0,13,59,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
